Name	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi
OTU_dn_274	3	1353.219714	7377	0.004716835	0	0	-0.825722824	0.666666667
OTU_dn_287	3	609	2191	0.001194551	0	16	0	0
OTU_dn_295	1	0	0	0.000770496	0	1	-0.612763669	0
OTU_dn_3	1	0	0	7.26E-83	0	17	0	0
OTU_dn_303	2	34.70678085	162	7.50E-05	0	0	-0.825722824	0.5
OTU_dn_304	6	1520.029137	26123	0.002581475	0	2	0.130386376	0.444444444
OTU_dn_306	1	0	0	8.06E-99	0	42	0	0
OTU_dn_33	2	86.08446979	349	0.003184787	0	1	-0.180815509	0
OTU_dn_340	1	0	0	6.86E-05	0	0	-0.825722824	0
OTU_dn_370	1	0	0	0.000155513	0	15	0	0
OTU_dn_3986	4	413.2814586	3766	0.003024378	0	2	0.130386376	0
OTU_dn_4	3	8.316666667	16	0.01548035	0.333333333	5	0.15567091	0
OTU_dn_411	1	0	0	3.22E-05	0	2	-0.847511447	0
OTU_dn_416	1	0	0	0.001222164	0	2	-0.847511447	0
OTU_dn_45	5	502.5933457	7643	0.002475545	0	2	0.456352318	0
OTU_dn_481	6	2144.500628	21424	0.005720336	0	2	0.130386376	0.5
OTU_dn_5	1	0	0	0.000852974	0	4	-0.808595201	0
OTU_dn_5396	1	0	0	6.54E-67	0	13	-0.5	0
OTU_dn_5527	5	804.8691258	13931	0.00055569	0	0	1.651445648	0.32
OTU_dn_557	2	2093	22729	5.56E-05	0	7	-0.904534034	0.5
OTU_dn_5613	2	0.833333333	2	0.00014291	0	4	-0.341659944	0
OTU_dn_5630	1	0	0	0.001224366	0	2	-0.847511447	0
OTU_dn_5754	2	13.66953519	153	0.000418014	0	2	-0.521545506	0
OTU_dn_608	2	1	1	1.45E-82	0	18	0	0
OTU_dn_62	4	1625.512419	10880	0.000765625	0.166666667	2	-0.521545506	0.5
OTU_dn_6326	2	3	3	2.53E-70	0	9	0.5	0
OTU_dn_7	1	0	0	8.06E-99	0	44	0	0
OTU_dn_734	1	0	0	7.26E-83	0	20	0	0
OTU_dn_74	1	0	0	0.031079384	0	3	-0.77321177	0
OTU_dn_787	1	0	0	8.06E-99	0	43	0	0
OTU_dn_820	1	0	0	8.06E-99	0	42	0	0
OTU_dn_9	3	453.7731922	3438	0.036444206	0.333333333	5	-0.689399745	0.666666667
OTU_dn_972	1	0	0	8.06E-99	0	21	0	0
Y07576.1.1528	1	0	0	8.06E-99	0	41	0	0
Y07578.1.1494	3	242.1253138	2037	0.002080239	0	0	0	0.444444444
Z95708.1.1548	1	0	0	0.00166219	0	4	-0.808595201	0
Z95710.1.1542	1	0	0	5.47E-05	0	2	-0.847511447	0
Z95727.1.1546	2	0	0	0.078918293	1	3	-0.521266362	0
Z95733.1.1547	22	12207.97648	98825	0.429605978	0.147186147	3	3.509860172	0.318181818
OTU_1	1	0	0	1.56E-73	0	14	-0.577350269	0
